question_id,context_source,gold_section_norm,context
q011,fbc_ch18,1804.5,"additional settlement of the
backfill.
1804.5 Grading and Fill in Flood Hazard Areas
In flood hazard areas established in Section 1612.3, grading, fill, or both, shall not be approved:
1. Unless such fill is placed, compacted and sloped to minimize shifting, slumping and erosion during the rise and fall of flood water
and, as applicable, wave action.
2. In floodways, unless it has been demonstrated through hydrologic and hydraulic analyses performed by a registered design
professional in accordance with standard engineering practice that the proposed grading or fill, or both, will not result in any
increase in flood levels during the occurrence of the design flood.
3. In coastal high hazard areas, unless such fill is conducted and/or placed to avoid diversion of water and waves toward any building
or structure.
4. Where design flood elevations are specified but floodways have not been designated, unless it has been demonstrated that the
cumulative effect of the proposed flood hazard area encroachment, when combined with all other existing and anticipated flood
hazard area encroachment, will not increase the design flood elevation more than 1 foot (305 mm) at any point.
1804.6 Compacted Fill Material
Where shallow founda"
q012,fbc_ch31,3109,"OSHA, FCC and EPA regulations.
Section 3109 Structures Seaward of a Coastal Construction Control Line
3109.1 General
The provisions of this section shall apply to the design and construction of habitable structures, and substantial improvement or repair
of substantial damage of such structures, that are entirely seaward of, and portions of such structures that extend seaward of, the
coastal construction control line or seaward of the 50-foot setback line, whichever is applicable. This section does not apply to
structures that are not habitable structures, as defined in this section. Section 1612 shall apply to habitable structures and structures that
are not habitable structures if located in whole or in part in special flood hazard areas established in Section 1612.3.
3109.1.1 Modification, Maintenance or Repair of Existing Habitable Structures
The requirements of Section 3109 do not apply to the modification, maintenance or repair of existing habitable structures, provided all
of the following apply to the modification, maintenance or repair:
1. Is within the limits of the existing foundation.
2. Does not require, involve or include any additions to, or repair or modification of, the existing foundation.
3. Does not include any additions or enclosures added, constructed, or installed below the lowest floor or deck.
Advisory Note. If the modification or repair is determined to be substantial improvement or substantial damage, and if the building is
located in a special flood hazard area (Zone A and Zone V) established in Section 1612.3, the requirements of Florida Building Code,
Existing Building applicable to"
q013,fbc_ch1,110.3,"hich
an application has been filed.
[A] 110.3 Required Inspections
The building official upon notification from the permit holder or his or her agent shall make the following inspections, and shall either
release that portion of the construction or shall notify the permit holder or his or her agent of any violations which must be corrected in
order to comply with the technical codes. The building official shall determine the timing and sequencing of when inspections occur and
what elements are inspected at each inspection.
Building
Foundation inspection. To be made after trenches are excavated and forms erected and shall at a minimum include the following
building components:
Stem-wall
Monolithic slab-on-grade
1.

Piling/pile caps
Footers/grade beams
In flood hazard areas, upon placement of the lowest floor, including basement, and prior to further vertical construction,
the elevation certification shall be submitted to the authority having jurisdiction.
1.1.
Framing inspection. To be made after the roof, all framing, fireblocking and bracing is in place, all concealing wiring, all pipes,
chimneys, ducts and vents are complete and shall at a minimum include the following building components:
Window/door framing
Vertical cells/columns
Lintel/tie beams
Framing/trusses/bracing/connectors
Draft stopping/fire blocking
Curtain wall framing
Energy insulation
Accessibility
Verify rough opening dimensions are within tolerance"
q014,fbc_ch3,R322,"ly with Sections R301.2.4, R301.2.5 and R322.
R301.1.1 Alternative Provisions
As an alternative to the requirements in Section R301.1, the following standards are permitted subject to the limitations of this code and the limitations therein. Where engineered design is used in
conjunction with these standards, the design shall comply with the Florida Building Code, Building.
1. AF&PA Wood Frame Construction Manual (AWC WFCM).
2. AISI Standard for Cold-Formed Steel Framing— Prescriptive Method for One- and Two-Family Dwellings (AISI S230).
3. ICC Standard on the Design and Construction of Log Structures (ICC 400).
R301.1.2 Construction Systems
The requirements of this code are based on platform and balloon-frame construction for light-frame buildings. The requirements for concrete and masonry buildings are based on a balloon framing system.
Other framing systems must have equivalent detailing to ensure force transfer, continuity and compatible deformations.
R301.1.3 Engineered Design
Where a building of otherwise conventional construction contains structural elements exceeding the limits of Section R301 or otherwise not conforming to this code, these elements shall be designed in
accordance with accepted engineering practice. The extent of such design need only demonstrate compliance of nonconventional elements with other applicable provisions and shall be compatible with
the performance of the conventional framed system. Engineered design in accordance with the Florida Building Code, Building is permitted for buildings and structures, and parts thereof, included in the
scope of this code.
R301.2 Climatic and Geogr"
q015,ch62,62-77,"nistrator.
(Ord. No. 2019-01, § 8)
Sec. 62-77. - Variances and appeals.
Variances and appeals; In General. Requests for variances and requests for appeals shall be
processed in accordance with this section. Requests for variances and appeals shall be
accompanied with the fee specified in the Growth Management Department, Development
Services Fee Schedule.
The Office of the Hearing Examiner (or the Planning Commission if the Hearing Examiner is
not available) shall hear requests for variances from the strict application of requirements of
this ordinance and which are not requirements of the Florida Building Code, in accordance
with Land Development Code section 10.09.00.
Pursuant to F.S. § 553.73(5), the Board of Building Adjustments and Appeals shall hear and
decide on requests for appeals and requests for variances from the strict application of the
flood-resistant construction requirements of the Florida Building Code. This section does not
apply to Section 3109 of the Florida Building Code, Building.

B.
C.
D.
E.
F.
(1)
Limitations on Authority to Grant Variances. The Office of the Hearing Examiner (or the Planning
Commission if the Hearing Examiner is not available) and the Board of Building Adjustments and
Appeals, as applicable, shall base its decisions on variances on technical justifications submitted
by applicants, the considerations for issuance in Section 9, F (§ 62-77.F) of this ordinance, the
conditions of issuance set forth in Section 9, G (§ 62-77.G) of this ordinance, and the comments
and recommendations of the Floodplain Administrator and the Building Official. The Office of the
Hearing Examiner (or the Planning Commission if the Hearing Examiner is not available) and the
Board of Building Adjustments and Appeals, as applicable, has the right to attach such conditions
as it deems necessary to further the purposes and objectives of this ordinance and the Florida
Building Code, as applicable.
Restrictions in Floodways. A variance shall not be issued by the Office of the Hearing Examiner (or"
q016,ord,2023-64,"Collier County Ordinance No. 2023-64.

NERS OF COLLIER COUNTY, FLORIDA, THAT: 
SECTION ONE: ADOPTION OF THE FLORIDA BUILDING CODE AND ADDITIONS 
TO THE FLORIDA BUILDING CODE. 
1. Adoption . There is hereby adopted by reference , the Florida Building Code, Eighth Edition 
(2023), and any amendments thereto, to be enforced by Collier County in the unincorporated 
portions of the County. 
2. Additions. The following additions , adjustments , amendments, and exemptions are added to 
the Eighth Edition (2023) Florida Building Code, as amended: 
Definitions. For purposes of this section, the following terms apply: 
Repair. To restore by replacing a part or putting together what is torn or broken; to 
restore or renew any part"
q018,fbc_ch2,202,"2023 Florida Building Code, Building — Section 202 (Definitions).

building or structure to a
public way. A means of egress consists of three separate and distinct parts: the exit access, the exit and the exit discharge.
Means of Escape
As used in Section 1010.3.5, a way out of a building or structure that does not conform to the strict definition of means of egress but
does provide an alternate way out. A means of escape consists of a door, stairway, passage or hall providing a way of unobstructed
travel to the outside at street or ground level. It may also consist of a passage through an adjacent nonlockable space, i"
q019,fbc_ch2,202,"2023 Florida Building Code, Building — Section 202 (Definitions).

building or structure to a
public way. A means of egress consists of three separate and distinct parts: the exit access, the exit and the exit discharge.
Means of Escape
As used in Section 1010.3.5, a way out of a building or structure that does not conform to the strict definition of means of egress but
does provide an alternate way out. A means of escape consists of a door, stairway, passage or hall providing a way of unobstructed
travel to the outside"
q020,fbc_ch2,202,"2023 Florida Building Code, Building — Section 202 (Definitions).

le point in a building or facility to a public way.
Accessible Route
See the Florida Building Code, Accessibility.
Accessible Unit
See the Florida Building Code, Accessibility.
Accessory Components
Components used in the installation of pedestals and pedestrian deck panels or pavers of the exterior elevated flooring system.
Accessory components are made of either plastic, metal or other approved materials. Accessory components may be used to provide
lateral bracing of the pedestals, to provide vertical support, for leveling the pedestal, to restrain the pedestrian deck panels or pavers to
the top of the pedestal, or for other system"
q021,fbc_ch3,R311.7.1,".
3. Stairways leading to crawl spaces.
R311.7.1 Width
Stairways shall be not less than 36 inches (914 mm) in clear width at all points above the permitted handrail height and below the required headroom height. The clear width of the stairway at and below the
handrail height, including treads and landings, shall be not less than 31 / inches (787 mm) where a handrail is installed on one side and 27 inches (698 mm) where handrails are provided on both sides.
Exception: The width of spiral stairways shall be in accordance with Section R311.7.10.1.
R311.7.2 Headroom
The headroom in stairways shall be not less than 6 feet 8 inches (2032 mm) measured vertically from the sloped line adjoining the tread nosing or from the floor surface of the landing or platform on that
portion of the stairway.
Exceptions:
1. Where the nosings of treads at the side of a flight extend under the edge of a floor opening through which the stair passes, the floor opening shall be allowed to project horizontally into the required
headroom not more than 4"
q022,fbc_ch3,R311.7.5.1,"of the
adjacent winders shall be used.
R311.7.5 Stair Treads and Risers
Stair treads and risers shall meet the requirements of this section. For the purposes of this section, dimensions and dimensioned surfaces shall be exclusive of carpets, rugs or runners.
R311.7.5.1 Risers
The riser height shall be not more than 7 / inches (196 mm). The riser height shall be measured vertically between leading edges of the adjacent treads. The greatest riser height within any flight of
stairs shall not exceed the smallest by more than / inch (9.5 mm). Risers shall be vertical or sloped from the underside of the nosing of the tread above. Open risers are permitted provided that the
openings located more than 30 inches (762 mm), as measured vertically, to the floor or grade below do not permit the passage of a 4-inch-diameter (102 mm) sphere.
Exceptions:
1. The opening between adjacent treads is not limited on spiral stairways.
2. The riser height of spiral stairways shall be in accordance with Section R311.7.10.1.
R311.7.5.2 Treads
The tread depth shall be not less than 10 inches (254 mm). The tread depth shall be measured horizontally between the vertical planes of the foremost projection of adjacent treads and at a right angle to
the tread's leading edge. The greatest tread depth within any flight of stairs shall not exceed the smallest by more than / inch (9.5 mm).
R311.7.5.2.1 Winder Treads
Winder treads shall have a tread dep"
q023,fbc_ch3,R311.7.3,"in accordance with Section R311.7.10.1.
R311.7.3 Vertical Rise
A flight of stairs shall not have a vertical rise greater than 12 feet 7 inches (3835 mm) between floor levels or landings.
R311.7.4 Walkline
The walkline across winder treads shall be concentric to the curved direction of travel through the turn and located 12 inches (305 mm) from the side where the winders are narrower. The 12-inch (305 mm)
dimension shall be measured from the widest point of the clear stair width at the walking surface of the winder. If winders are adjacent within the flight, the point of the widest clear stair width of the
adjacent winders shall be used.
R311.7.5 Stair Treads and Risers
Stair treads and risers shall meet the requirements of this section. For the purposes of this section, dimensions and dimensioned surfaces shall be exclusive of carpets, rugs or runners.
R311.7.5.1 Risers
The riser height shall be not more than 7 / inches (196 m"
q024,fbc_ch10,1023.11,"ith Section 1023.9.1, Items 4, 5 and 6.
1023.11 Smokeproof Enclosures
Where required by Section 403.5.4, 405.7.2 or 412.3.2.1, interior exit stairways and ramps shall be smokeproof enclosures in accordance
with Section 909.20.
1023.11.1 Termination and Extension
A smokeproof enclosure shall terminate at an exit discharge or a public way. The smokeproof enclosure shall be permitted to be
extended by an exit passageway in accordance with Section 1023.3. The exit passageway shall be without openings other than the
fire door assembly required by Section 1023.3.1 and those necessary for egress from the exit passageway. The exit passageway shall
be separated from the remainder of the building by 2-hour fire barriers constructed in accordance with Section 707 or horizontal
assemblies constructed in accordance with Section 711, or both.
Exceptions:
1. Openings in the exit passageway serving a smokeproof enclosure are permitted where the exit passageway is protected and
pressurized in the same manner as the smokeproof enclosure, and openings are protected as required for access from other
floors.
2. The fire barrier separating the smokeproof enclosure from the exit passageway is not required, provided the exit passageway
is prote"
q025,fbc_ch10,1005.7.1,"adjacent stories, whichever is larger.
1005.7 Encroachment
Encroachments into the required means of egress width shall be in accordance with the provisions of this section.
1005.7.1 Doors
Doors, when fully opened, shall not reduce the required width by more than 7 inches (178 mm). Doors in any position shall not reduce
the required width by more than one-half.
Exceptions:
1. Surface-mounted latch release hardware shall be exempt from inclusion in the 7-inch maximum (178 mm) encroachment
where both of the following conditions exist:
1.1. The hardware is mounted to the side of the door facing away from the adjacent wall where the door is in the open
position.
1.2. The hardware is mounted not less than 34 inches (865 mm) nor more than 48 inches (1219 mm) above the finished floor.
2. The restrictions on door swing shall not apply to doors within individual dwelling units and sleeping units of Group R-2
occupancies and dwelling units of Group R-3 occupancies.
1005.7.2 Other Projections
Handrail projections shall be in accordance with the provisions of Section 1014.8. Other nonstructural projections such as trim and
similar decorative features shall be permitted to project into the required width not more than 1 / inches (38"
q026,sec2226,22-26,"# Collier County Code of Ordinances — Sec. 22-26

**Source:** Municode, Chapter 22 (Buildings and Building Regulations), Article II (Florida Building Code)
https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO
**Retrieved:** 2026-07-09 (verified against Municode by human review — Lesson 1 verification pass)
**History note:** (Ord. No. 2012-14, § 1; Ord. No. 2015-36, § 1; Ord. No. 2017-52, § 1; Ord. No. 2020-48, § 1; Ord. No. 2023-64, § 1; Ord. No. 2024-40, § 1)

---

## Sec. 22-26. — Adoption of and additions to the Florida Building Code.

1. **Adoption.** There is hereby adopted by reference, the Florida Building Code, Eighth Edition (2023),
 and any amendments thereto, to be enforced by Collier County in the unincorporated portions of
 the County.

2. **Additions.** The following additions, adjustments, amendments, and exemptions are added to the
 Eighth Edition (2023) Florida Building Code, as amended:

*Definitions.* For purposes of this section, the following terms apply:

- *Repair.* To restore by replacing a part or putting together what is torn or broken; to restore or
 renew any part for the purpose of its maintenance or to correct damage.
- *Replacement.* To put something new in the place of, to remove the entire component (not a part
 of) and install a new component in former place or position.
- *Like for Like, Like Kind.* Si"
q027,sec2226,107.3.1,"it for unsafe/unsound structures).

### 107.3.1 Approval of construction documents.

The following amendment to the administrative provisions of the Florida Building Code has been
established for Collier County based on Section 107.3 of the Florida Building Code and Section
553.74(4)(a), Florida Statutes.

When the building official issues a permit, the construction documents shall be approved, in
writing or by stamp, as ""Reviewed for Code Compliance."" One set of construction documents so
reviewed shall be retained by the building official. The other set shall be returned to the
applicant, shall be kept at the site of work, and shall be open to inspection by the building official
or a duly authorized representative. **Digital copies available at the site of work and open to
inspection by the building official or a duly authorized representative will also be accepted.**

### 110.3 Required Inspections. (Building — Foundation inspection)

Foundation inspection: to be made after trenches are excavated and forms erected, and sha"
q028,sec2226,105.2,"ext; see source for full wording).

### 105.2 Work exempt from permit.

The following permit exemptions have been established for Collier County based on Section
105.2.2 of the Florida Building Code and Section 553.73(4)(a), Florida Statutes.

Exemptions from permit requirements of this code shall not be deemed to grant authorization for
any work to be done in any manner in violation of the provisions of this code. Permits shall not be
required for the following:

**Mechanical:** dustless ventilation isolated systems, that do not affect any fire penetrations or rated assemblies.

**Plumbing:** plumbing fixture repair or replacement, that does not affect any fire penetrations or rated assemblies.

**Electrical:** ceiling fixture replacement using existing outlet box and wiring, that does not affect any fire penetrations or rated assemblies.

**Building:**
1. Flooring installation.
2. Painting/wallpaper.
3. Finish trim work.
4. Interior door replacement not affecting existing framed opening.
5. Drywall repair/replacement that are not fire-related and are small areas that do not exceed
 two sheets of drywall (64 sq. ft.).
6. Gutters and leaders.

### 105.2.4. Exemptions for detached single-family residences.

The followin"
q029,ord,2020-48,"3 and Category 4, are hereby adopted. 
SECTION THREE: REPEAL. 
Ordinance No . 2020-48, is hereby repealed in its entirety . 
SECTION FOUR. CONFLICT AND SEVERABILITY. 
In the event this Ordinance conflicts with any other ordinance of Collier County or other 
applicable law , the more restrictive shall apply . If any phrase or portion of the Ordinance is held 
invalid or unconstitutional by any court of competent jurisdiction, such porti"
