question_id,model_name,category,question,cited_section,gold_section_norm,output
q009,claude-opus-4-8,numeric,"What Florida Building Code section governs foundation walls and retaining wall design for lateral soil loads, and where are the minimum design soil loads found?",18,1610,"# Florida Building Code â€“ Foundation and Retaining Wall Lateral Soil Loads

## Important Caveat

I want to be upfront: I can point you toward the **general structure** of where this information typically lives in the code, but I'd strongly encourage you to **verify the exact section numbers** against the specific edition you're working with, because:

1. **Section numbers change between editions** (e.g., 2017, 2020, 2023 versions of the FBC)
2. There are **separate volumes** (Building vs. Residential)
3. I can't guarantee current section citations without risk of giving you a number that's slightly off

## General Guidance on Where to Look

**Florida Building Code, Building (FBC-B):**
- **Chapter 18 â€“ Soils and Foundations** is the primary chapter governing foundations and retaining structures.
- **Minimum design lateral soil loads** are typically presented in a table within Chapter 16 (Structural Design) â€” historically **Table 1610.1**, ""Soil Lateral Load,"" which lists design pressures (psf per foot of depth) by soil classification.

**Florida Building Code, Residential (FBC-R):**
- Foundation provisions fall under **Chapter 4 â€“ Foundations**, with foundation wall and lateral soil load tables located there.

## Recommended Verification Steps

- Check the **specific edition** stamped on your project or jurisdiction requirement.
- Access the official code text through the **Florida Building Commission** or the **ICC Digital Codes** platform (upcodes.com or codes.iccsafe.org also host FBC).
- Confirm with your **local building official** or the project **engineer/geotechnical report**, since site-specific soil data often governs over table minimums.

Would you like me to describe what the soil lateral load table generally contains (soil classes, design loads), or are you trying to locate a specific edition?"
q009,claude-opus-4-8,numeric,"What Florida Building Code section governs foundation walls and retaining wall design for lateral soil loads, and where are the minimum design soil loads found?",R404,1610,"I can provide general guidance on this, but I'd recommend verifying against the current code edition, as section numbers and specific provisions can change between code cycles.

## Foundation and Retaining Walls

In the **Florida Building Code, Residential (FBC-R)**, foundation walls are generally addressed in **Chapter 4 (Foundations)**, particularly:

- **Section R404** â€“ Foundation and Retaining Walls. This section covers concrete and masonry foundation wall design, including provisions for resisting lateral soil loads.

## Minimum Design Lateral Soil Loads

The minimum design lateral soil load values are typically found in:

- **Table R405.1** or referenced within **Chapter 4**, but the foundational table for lateral soil load values is commonly **Table R404.1 series** in the Residential code.

More specifically, minimum lateral soil load values (expressed in pounds per square foot per foot of depth) categorized by soil classification are often found in:

- **Table R404.1.1(1) through R404.1.1(4)** and related design tables, and
- The **design lateral soil load table**, which in the IRC/FBC-R is often cross-referenced.

## For Commercial (FBC-Building)

If you're working under the **Florida Building Code, Building** volume, look at:

- **Chapter 18 (Soils and Foundations)**
- **Section 1807** â€“ Foundation Walls, Retaining Walls, and Embedded Posts and Poles
- **Table 1610.1** â€“ Minimum design lateral soil loads (this is a key table you're likely asking about)

## Recommendation

Because you're asking a code-compliance question with specific liability implications, I'd strongly suggest:

1. **Confirming which code edition** applies to your project (e.g., 8th Edition 2023).
2. **Verifying exact section/table numbers** in the official code text, since I may not have the precise current numbering.

Would you like me to focus on the **Residential** or **Building** volume? That will help narrow down the exact citations."
q010,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs geotechnical investigations for foundation design?",18,1803,"I don't have reliable, specific knowledge about the exact section number in the 2023 Florida Building Code, Building that governs geotechnical investigations for foundation design, and I don't want to guess or make up a citation.

That said, I can offer some helpful context:

- In the **International Building Code (IBC)**, which Florida's code is based on, geotechnical and soils-related provisions for foundations are generally found in **Chapter 18 â€“ Soils and Foundations**. Within that chapter, sections addressing geotechnical/soils investigations are typically in the **Section 1803 (Geotechnical Investigations)** range.

- The Florida Building Code, Building often mirrors this structure, so Chapter 18 would be the logical place to look, with the investigation requirements likely around Section 1803.

**To get the exact, verified answer, I'd recommend:**
- Checking the official code text directly at the **Florida Building Commission's site** or the **UpCodes / ICC Digital Codes** platform, which host the 2023 Florida Building Code, Building.
- Searching for ""Chapter 18"" and ""geotechnical investigation"" in that document.

If you can tell me more about your use case (permitting, exam prep, design work), I can help you interpret the requirements once you've located the section."
q010,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs geotechnical investigations for foundation design?",18,1803,"I don't have reliable, specific knowledge of the exact section number in the 2023 Florida Building Code, Building that governs geotechnical investigations for foundation design, and I don't want to give you a citation that might be incorrect.

What I can tell you generally:

- In the **International Building Code (IBC)**, which Florida's code is based on, foundation and soil-related requirements are typically found in **Chapter 18 â€“ Soils and Foundations**. Geotechnical/soil investigation provisions are usually within that chapter (historically around Section 1803, ""Geotechnical Investigations"").

- The Florida Building Code often mirrors IBC chapter and section numbering, so Chapter 18 would be the most likely place to look, but Florida makes amendments, so the exact section could differ.

**My recommendation:** To get an accurate citation, consult the official code directly. The 2023 Florida Building Code, Building is available online through:
- The **Florida Building Commission / DBPR** website
- The **UpCodes** or **ICC Digital Codes** platforms, which let you search the specific edition

If you can tell me what you're trying to accomplish (e.g., a permit submission, a design report, a citation for a document), I can help you think through it or suggest how to verify the correct section."
q010,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs geotechnical investigations for foundation design?",18,1803,"I don't have reliable, specific knowledge of the exact section number in the 2023 Florida Building Code, Building that governs geotechnical investigations for foundation design, so I don't want to guess and give you an incorrect citation.

That said, I can offer some helpful context:

- In the **International Building Code (IBC)**, which the Florida Building Code is based on, geotechnical investigations and soils/foundation requirements are generally found in **Chapter 18 â€“ Soils and Foundations**. Section **1803** specifically addresses **""Geotechnical Investigations.""**

- The Florida Building Code typically mirrors the IBC's chapter and section numbering, so Chapter 18 / Section 1803 is a very likely locationâ€”but Florida does add state-specific amendments, so you should verify.

To get the authoritative answer, I'd recommend:
1. Checking the official Florida Building Code online (the state provides a searchable version through the **Florida Building Commission** / **UpCodes** or the **ICC** digital codes platform).
2. Looking directly at **Chapter 18** to confirm the section number and any Florida-specific amendments.

Would you like guidance on where to access the official code text?"
q011,claude-opus-4-8,numeric,"What section addresses grading and fill placement requirements in flood hazard areas under the 2023 FBC, Building?",16,1804.4,"I don't have reliable, specific knowledge of the exact section number in the 2023 Florida Building Code, Building that addresses grading and fill placement requirements in flood hazard areas. I don't want to give you a section citation that might be incorrect.

To find this accurately, I'd suggest a few approaches:

1. **Check Chapter 16 (Structural Design)** and the flood-related provisions, as flood hazard requirements are often addressed there, along with references to **ASCE 24** (Flood Resistant Design and Construction), which the FBC incorporates.

2. **Look at Appendix G (Flood-Resistant Construction)**, which commonly contains grading and fill provisions in model codes based on the International Building Code.

3. **Consult the code directly** through the Florida Building Commission's official website or the ICC (International Code Council) Digital Codes platform, which hosts the Florida codes and is searchable.

If you can tell me more about your context (permitting, design, plan review), I can help you think through what provisions likely apply, but I'd recommend verifying the exact section number against the official code text rather than relying on a number I might misstate."
q011,claude-opus-4-8,numeric,"What section addresses grading and fill placement requirements in flood hazard areas under the 2023 FBC, Building?",18,1804.4,"I don't have reliable, specific knowledge of the exact section number in the 2023 Florida Building Code, Building that addresses grading and fill placement requirements in flood hazard areas. I don't want to guess at a section number and give you incorrect information.

What I can tell you generally:

- Flood hazard area provisions in the Florida Building Code are typically found in **Section 1612** (Flood Loads), which references ASCE 24 (Flood Resistant Design and Construction).
- Requirements related to fill, grading, and site development in flood hazard areas often appear in **Chapter 18 (Soils and Foundations)** and may reference ASCE 24 as well.

To get the exact section, I'd recommend:

1. Checking the official code text through the **Florida Building Code online** (available via the Florida Building Commission / UpCodes / ICC Digital Codes).
2. Searching the code's index under ""flood hazard areas,"" ""fill,"" or ""grading.""

If you can tell me more about the context (e.g., whether this relates to foundations, site work, or a specific permitting question), I can help point you toward the right area more precisely."
q012,claude-opus-4-8,state_amendment,What Florida Building Code section governs construction seaward of the Coastal Construction Control Line (CCCL)?,16,3109,"The construction seaward of the Coastal Construction Control Line (CCCL) in Florida is primarily governed by **Section 3109** of the Florida Building Code, Building.

Specifically, **Section 3109 ""Structures Seaward of a Coastal Construction Control Line""** addresses the requirements for buildings and structures located seaward of the CCCL or the 50-foot setback line.

A few important points to keep in mind:

1. **Chapter 16 (Structural Design)** also contains relevant provisions, particularly regarding wind loads and structural requirements for coastal areas.

2. **Section 3109** references and works in conjunction with **Chapter 161 of the Florida Statutes** (the ""Beach and Shore Preservation Act""), which establishes the CCCL program administered by the **Florida Department of Environmental Protection (FDEP)**.

3. Construction seaward of the CCCL typically requires a **CCCL permit from FDEP** in addition to compliance with the building code.

4. These structures must be designed to resist specific loads associated with a **100-year storm event**, including wave loads, hydrostatic and hydrodynamic forces, and erosion.

Because building codes are periodically updated (editions are released every few years), I'd recommend **verifying the exact section number against the current edition** of the Florida Building Code that applies to your project, as section numbering can occasionally shift between editions. You may also want to consult directly with your local building department or FDEP for project-specific requirements."
q013,claude-opus-4-8,state_amendment,What Florida Building Code section requires elevation certification to be submitted for buildings in flood hazard areas after the foundation inspection?,1,110.3,"I don't have reliable, specific knowledge of the exact Florida Building Code section number that requires elevation certification to be submitted after the foundation inspection for buildings in flood hazard areas. I don't want to give you a section citation that might be incorrect, since citing the wrong code section could cause real problems for permitting or compliance.

What I can tell you generally:

- The Florida Building Code addresses flood-resistant construction primarily in **Section 1612** (Building volume) and references **ASCE 24** for flood-resistant design.
- Elevation certificate requirements are typically tied to the ""lowest floor"" elevation documentation, and inspections/documentation requirements often appear in the **administrative provisions** (the Building/Chapter 1 area) and in local floodplain management ordinances.
- The requirement for an elevation certificate at the ""under construction"" stage (after foundation/lowest floor is set) is frequently driven by **FEMA/NFIP** requirements and adopted local floodplain ordinances as much as by the FBC itself.

To get the precise, current section number, I'd recommend:

1. Checking the **Florida Building Code, Building** (current edition) directly at the official online code portal (codes.iccsafe.org or the Florida Building Commission site).
2. Consulting your **local building department or floodplain administrator**, since they enforce these requirements and can point to the exact citation.

If you can tell me which edition of the FBC you're working with (e.g., 7th Edition 2020, 8th Edition 2023), I can try to help narrow it down furtherâ€”but I'd still encourage verifying the section number against the official text."
q013,claude-opus-4-8,state_amendment,What Florida Building Code section requires elevation certification to be submitted for buildings in flood hazard areas after the foundation inspection?,1,110.3,"I don't have reliable, specific knowledge of the exact Florida Building Code section number that requires elevation certification submission after foundation inspection, and I don't want to give you a citation that might be incorrect.

What I can tell you generally:

- The Florida Building Code incorporates flood-resistant construction requirements, largely aligned with **ASCE 24** and the model **International Building Code (IBC)** and **International Residential Code (IRC)**.
- Elevation certification requirements typically appear in the **inspection provisions** of the code (often in Chapter 1 administrative provisions) and are tied to demonstrating that the lowest floor is elevated to or above the design flood elevation.
- The requirement to document elevation (often via a FEMA **Elevation Certificate**) after the lowest floor is set is commonly associated with the **""lowest floor elevation"" inspection** requirements.

To get the precise, current section number, I'd recommend:

1. **Checking the Florida Building Code directly** at the official source (the code is published online and searchable) â€” look in the **Building volume, Chapter 1 (Scope and Administration)** and the flood-related provisions.
2. **UpCodes or ICC Digital Codes**, which let you search the Florida Building Code by keyword like ""elevation certificate"" or ""flood.""
3. **Contacting your local building department or floodplain administrator**, who can point to the exact adopted section and edition (the numbering can shift between code editions like 2017, 2020, 2023).

If you tell me which **edition** of the Florida Building Code you're working with, I can help you narrow down where to look, but I'd rather not guess at a specific section number."
q013,claude-opus-4-8,state_amendment,What Florida Building Code section requires elevation certification to be submitted for buildings in flood hazard areas after the foundation inspection?,1,110.3,"I don't have reliable, specific knowledge of the exact Florida Building Code section number that addresses this requirement, and I don't want to give you a citation that might be incorrect.

What I can tell you generally:

- The Florida Building Code incorporates flood provisions largely based on ASCE 24 and coordinates with FEMA/NFIP requirements.
- Elevation certificates and documentation of the lowest floor elevation are commonly required, often after the foundation/lowest floor is set but before further vertical construction proceeds. This is sometimes tied to the ""elevation-in-place"" or foundation inspection stage.
- Relevant provisions are often found in the **Florida Building Code, Building** volume, within the flood-resistant construction sections (which reference ASCE 24), and in Chapter 1 administrative provisions dealing with inspections and required documentation.

To get the precise, current section number, I'd recommend:

1. **Consulting the official code directly** at the Florida Building Commission's site (floridabuilding.org), where you can search the code text.
2. **UpCodes or ICC's Digital Codes** platforms, which let you search the Florida Building Code by keyword like ""elevation certificate.""
3. **Contacting your local building department or floodplain administrator**, who can point you to the exact section and any local amendments.

If you tell me which edition (e.g., 8th Edition/2023) and which volume you're working from, I can help you reason about where to look, but I'd rather not fabricate a section number."
q015,claude-opus-4-8,jurisdiction_amendment,"Which Collier County code section governs flood variance requests, including variances from the flood-resistant construction requirements of the Florida Building Code?",1612,62-77,"I don't have reliable, specific knowledge of the exact Collier County code section number that governs flood variance requests. I don't want to guess at a section number, since citing an incorrect code provision could cause real problems if you're relying on it for a permit application, appeal, or legal matter.

Here's how you can find the accurate answer:

1. **Collier County Code of Ordinances** â€“ Flood damage prevention regulations are typically found within the county's floodplain management or flood damage prevention ordinance. You can search the codified ordinances at **Municode** (library.municode.com), which hosts Collier County's code.

2. **Collier County Growth Management Department / Floodplain Management** â€“ This office administers flood variances and can point you to the exact citation. They handle variances from flood-resistant construction standards.

3. **Florida Building Code cross-reference** â€“ Because you mentioned variances from the FBC's flood-resistant construction requirements, the relevant provision usually ties local floodplain ordinance language to FBC Section 1612 and the state floodplain management statutes.

For a definitive and current citation, I'd recommend calling Collier County's Floodplain Management/Growth Management Department directly, as ordinance section numbers can change with recodification.

Would you like help drafting a question to send to the county, or guidance on the general variance process under FEMA/NFIP standards (44 CFR 60.6), which local ordinances must follow?"
q022,claude-opus-4-8,numeric,"What is the minimum tread depth and maximum riser height for a residential stairway under the Florida Building Code, Residential?",R311.7,R311.7.5.1,"# Florida Building Code, Residential â€“ Stairway Requirements

Under the **Florida Building Code, Residential (FBC-R)**, Section R311.7 governs stairways. The standard requirements are:

## Riser Height
- **Maximum riser height: 7Â¾ inches (7.75"")**
- Measured vertically between leading edges of adjacent treads

## Tread Depth
- **Minimum tread depth: 10 inches (10"")**
- Measured horizontally between vertical planes of the foremost projection of adjacent treads

## Additional Notes
- The **greatest riser height** within any flight of stairs cannot exceed the smallest by more than **3/8 inch**.
- The **greatest tread depth** within any flight cannot exceed the smallest by more than **3/8 inch**.
- Winder treads have separate requirements (minimum tread depth of 10 inches measured at the walkline, with a minimum of 6 inches at any point).

---

**Important:** Code editions are periodically updated, and requirements can vary slightly between versions (e.g., 2020 vs. 2023 editions). Local jurisdictions may also have amendments. Always verify against the **current adopted edition** applicable to your project and confirm with your local building department before finalizing any design or construction.

Would you like details on other stairway requirements, such as headroom clearance, handrails, or landings?"
